,PR,NPC,POLY,EBR
308,59,11,3.8579628819274627,0.0
309,60,8,4.192245493629946,0.0
310,74,10,4.294330137168731,0.0
311,52,11,3.888484716868451,0.0
312,55,11,4.280850839227278,0.0
313,39,7,3.5438722763855264,0.0
314,42,8,4.579831251014117,0.0
315,53,12,5.179353739887401,0.0
316,60,8,7.924339498018494,0.0
317,72,9,7.92450701683137,0.0
318,70,8,6.443969676085458,0.0
319,55,8,5.628642362472233,0.0
320,59,7,8.086608252141502,0.0
321,52,10,4.954034141958671,0.0
322,48,7,7.513273179024454,0.0
323,55,8,5.871021311929145,0.0
324,31,9,3.8623509962585922,0.0
325,57,12,4.952472910631906,0.0
326,60,9,4.9100073046018995,0.0
327,65,10,6.783091031089242,0.0
328,69,11,5.055235627219503,0.0
329,60,8,11.219054812965943,0.0
330,60,7,11.584760838055079,0.0
331,50,7,6.378544712682761,0.0
332,61,11,9.369307808669344,0.0
333,68,7,8.771379436135286,0.0
334,52,7,4.82090042720999,0.0
335,67,8,7.48399857448325,0.0
336,57,8,4.798835125448028,0.0
337,60,10,6.826609382095079,0.012987012987012991
338,58,8,10.365660607114899,0.0
339,63,11,12.998163613309432,0.0
340,51,8,4.575376218736753,0.010000000000000009
341,55,8,7.517457386831954,0.0
342,77,12,8.190159148360452,0.0
343,52,8,6.8775042555977475,0.0
344,60,7,8.725624524254377,0.0
345,36,8,4.406935557586837,0.010752688172043001
346,75,12,7.084173855341739,0.0
347,60,10,5.697281486579491,0.0
348,81,11,9.70606917554927,0.0
349,68,8,7.318731063981465,0.0
350,65,8,4.027225738688189,0.02020202020202022
351,52,7,5.7696903140786295,0.0
352,52,10,4.652309752287436,0.026666666666666616
353,63,10,5.238825031928481,0.020000000000000018
354,57,10,5.693096377306904,0.0
355,70,10,7.36567563948038,0.0
356,64,12,4.713227150466747,0.0
357,54,12,9.404972527472527,0.0
358,64,11,8.055555555555555,0.0
359,70,9,8.432025651932074,0.0
360,53,10,3.3763489547958643,0.012499999999999956
361,67,7,6.101721854304635,0.012499999999999956
362,58,7,6.646555771681535,0.0
363,58,8,6.435601338494849,0.0
364,53,7,7.223328640593346,0.0
365,60,8,5.978226704210595,0.0
366,55,9,4.915492957746479,0.0
367,56,9,5.647291380775012,0.0
368,51,10,5.920287191550884,0.10833333333333328
369,62,9,7.271896736685469,0.0
370,69,8,6.967767807910171,0.0
371,56,8,6.993271398319557,0.03749999999999998
372,60,12,12.989850863166138,0.0
373,43,8,5.586447258128557,0.008333333333333304
374,40,8,5.228972427751418,0.012499999999999956
375,51,10,4.749293140681702,0.01666666666666672
376,64,9,6.219037022492746,0.0
377,46,7,6.377928988028241,0.03749999999999998
378,46,7,10.39953534827167,0.0
379,38,7,6.668660622488083,0.0
380,74,11,9.398192890712915,0.0
381,72,9,8.551028412062053,0.0
382,51,7,7.732678184051645,0.0
383,63,9,8.20242228080708,0.0
384,51,7,5.144783496293113,0.1392405063291139
385,60,8,7.221500592055689,0.07594936708860756
386,73,10,7.4383981243382244,0.0
387,74,8,10.964423769901067,0.0
388,36,8,4.647089842462593,0.0
389,71,12,9.592410524826708,0.0
390,70,9,8.034149591870731,0.0
391,67,9,6.673154362416107,0.0
392,43,8,3.987813034108642,0.0
393,55,9,4.28560736471821,0.0
394,72,10,7.113017191142191,0.0
395,37,10,2.8372868791697554,0.0
396,41,12,3.766733266733267,0.0
397,63,7,5.696319907273254,0.01666666666666672
398,64,9,8.78776563868529,0.0
399,65,9,7.466131635189951,0.0
400,75,9,10.081565741050518,0.0
401,58,12,6.401275917065391,0.0
402,76,12,7.3112182001568975,0.0
403,65,7,4.608227656497023,0.012499999999999956
404,66,11,5.299931438215284,0.12658227848101267
405,65,9,4.586551054509326,0.012658227848101222
406,26,7,4.674101077050539,0.012499999999999956
407,41,7,6.236870785368844,0.0
408,39,7,6.178640712853056,0.0
409,57,7,8.133519003931848,0.0
410,48,7,5.18670357217464,0.0
411,72,10,8.011410788381744,0.0
412,53,9,6.154393138082752,0.01666666666666672
413,60,10,5.659039476992708,0.0
414,56,10,9.792490781092859,0.0
415,58,10,8.174292482234135,0.0
416,43,11,5.094139495018035,0.0
417,48,7,11.126995550902905,0.0
418,34,7,9.72290928538004,0.0
419,58,11,7.015182762053762,0.0
420,65,11,7.82838262235017,0.0
421,62,8,8.951415658646816,0.0
422,67,8,7.935492601948755,0.0
423,75,10,8.239488117001828,0.0
424,72,12,9.45048277317575,0.0
425,48,9,5.259708630385688,0.0
426,69,12,10.902510241436415,0.0
427,39,10,6.3450152661622194,0.0
428,60,9,6.90500366519154,0.0
429,57,9,5.827449583759961,0.0
430,62,9,9.268464062403268,0.0
431,55,9,3.263646595385481,0.0
432,68,11,5.603389093018759,0.0
433,43,9,4.6289066256370806,0.1717171717171717
434,36,10,4.056919332406119,0.012987012987012991
435,67,10,6.495588660688458,0.013513513513513487
436,46,8,6.525394934251169,0.0
437,70,11,4.244963490806721,0.0
438,48,11,4.462133532591974,0.0
439,66,12,3.6649359381420195,0.013513513513513487
440,77,7,3.819987737584304,0.0
441,68,10,6.868007458710709,0.0
442,50,8,3.748971832078839,0.0
443,60,9,4.926302169364607,0.0
444,60,7,6.789543676662321,0.0
445,64,7,7.1597336651309815,0.0
446,71,7,7.787690992627417,0.0
447,76,8,6.288405022709057,0.0
448,74,6,6.538284964748319,0.0
449,78,7,10.585810855155215,0.0
450,59,8,8.815150223737481,0.0
451,43,9,3.106969161047861,0.0
452,68,8,6.854678515420805,0.0
453,72,8,7.53665639401736,0.010638297872340385
454,48,8,2.187016589320958,0.0
455,65,10,10.932987731121479,0.0
456,73,12,8.91618000687049,0.0
457,36,7,4.597604975983354,0.008333333333333304
458,53,10,4.740577043146791,0.0
459,57,9,4.55585332374665,0.0
460,49,6,7.236199926497611,0.0
461,67,10,8.909813567176416,0.0
462,46,7,6.8518751538693,0.0
463,46,7,7.470318345450695,0.0
